Name,Released year,Genre,Director,Runtime (h),Score,Status,Language,Budget ($),Revenue ($)
The First Purge,2018,"'Horror', 'Action', 'Thriller'",James DeMonaco,1.62,60.0,Released,English,13000000.0,137056262.0
American Pie,1999,"'Comedy', 'Romance'",Paul Weitz,1.58,66.0,Released,English,11000000.0,235483004.0
Beast,2022,"'Thriller', 'Action', 'Horror'",Baltasar Kormákur,1.55,67.0,Released,English,,56000000.0
Surrounded,2023,"'Western', 'Action', 'Drama'",Anthony Mandler,1.67,63.0,Released,English,,
X-Men: Days of Future Past,2014,"'Action', 'Adventure', 'Science Fiction'",Simon Kinberg,2.2,75.0,Released,English,250000000.0,747862775.0
Sing,2016,"'Animation', 'Comedy', 'Family', 'Music'",Garth Jennings,1.8,71.0,Released,English,75000000.0,634151679.0
The Help,2011,'Drama',Tate Taylor,2.43,82.0,Released,English,25000000.0,216600000.0
Babylon,2022,"'Drama', 'Comedy'",Damien Chazelle,3.15,74.0,Released,English,78000000.0,63363579.0
Dealing with Christmas,2023,"'Comedy', 'Adventure', 'Action'",Arthur Sanigou,1.5699999999999998,51.0,Released,French,,
Trick,2019,"'Thriller', 'Horror'",Patrick Lussier,1.6800000000000002,59.0,Released,English,,
Hotel Transylvania 2,2015,"'Animation', 'Comedy', 'Family', 'Fantasy'",Genndy Tartakovsky,1.48,68.0,Released,English,80000000.0,473200000.0
Ice Age: Continental Drift,2012,"'Animation', 'Comedy', 'Adventure', 'Family'",Michael Berg,1.47,64.0,Released,English,95000000.0,877244782.0
Madagascar: Escape 2 Africa,2008,"'Family', 'Adventure', 'Animation', 'Comedy'",Tom McGrath,1.48,65.0,Released,English,150000000.0,603900354.0
Sword Art Online the Movie -Progressive- Scherzo of Deep Night,2022,"'Animation', 'Action', 'Fantasy', 'Science Fiction'",Ayako Kono,1.67,76.0,Released,Japanese,,
The SpongeBob SquarePants Movie,2004,"'Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure'",Stephen Hillenburg,1.45,70.0,Released,English,30000000.0,140161792.0
Landscape with Invisible Hand,2023,"'Science Fiction', 'Comedy'",Cory Finley,1.75,63.0,Released,English,,
Jagun Jagun,2023,"'Action', 'Drama'",Adebayo Tijani,2.23,66.0,Released,Yoruba,,
Knock at the Cabin,2023,"'Thriller', 'Mystery', 'Horror'",M. Night Shyamalan,1.67,63.0,Released,English,20000000.0,54700000.0
X-Men: Apocalypse,2016,"'Action', 'Adventure', 'Science Fiction', 'Fantasy'",Bryan Singer,2.4,65.0,Released,English,178000000.0,543934787.0
Shin Kamen Rider,2023,"'Action', 'Drama', 'Science Fiction'",Hideaki Anno,2.02,70.0,Released,Japanese,,15800000.0
Nope,2022,"'Horror', 'Science Fiction', 'Mystery'",Jordan Peele,2.17,69.0,Released,English,68000000.0,170823080.0
The Karate Kid,2010,"'Action', 'Adventure', 'Drama', 'Family'",Harald Zwart,2.33,65.0,Released,English,40000000.0,359126022.0
The Imitation Game,2014,"'History', 'Drama', 'Thriller', 'War'",Morten Tyldum,1.88,80.0,Released,English,14000000.0,233600000.0
Blade Runner,1982,"'Science Fiction', 'Drama', 'Thriller'",Ridley Scott,1.97,79.0,Released,English,28000000.0,41722424.0
Frivolous Lola,1998,"'Comedy', 'Romance'",Tinto Brass,1.75,50.0,Released,Italian,,
Wingwomen,2023,"'Action', 'Comedy', 'Drama'",Mélanie Laurent,1.9,61.0,Released,French,,
Naruto Shippuden the Movie: The Will of Fire,2009,"'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Animation'",Masahiko Murata,1.58,72.0,Released,Japanese,,8084148.0
Guillermo del Toro's Pinocchio,2022,"'Animation', 'Fantasy', 'Drama', 'Family'",Guillermo del Toro,1.95,82.0,Released,English,35000000.0,
Spy Kids: Armageddon,2023,"'Family', 'Comedy', 'Action', 'Adventure', 'Science Fiction'",Robert Rodriguez,1.63,64.0,Released,English,,
Jack Reacher,2012,"'Crime', 'Drama', 'Thriller', 'Action'",Christopher McQuarrie,2.17,66.0,Released,English,60000000.0,218340595.0
Project X,2012,'Comedy',Michael Bacall,1.47,68.0,Released,English,12000000.0,102731865.0
Through My Window,2022,"'Drama', 'Romance', 'Comedy'",Marçal Forés,1.87,74.0,Released,Spanish; Castilian,,
xXx: State of the Union,2005,"'Action', 'Adventure', 'Crime', 'Mystery', 'Thriller'",Rich Wilkes,1.6800000000000002,50.0,Released,English,60000000.0,71100000.0
Godzilla: Final Wars,2004,"'Action', 'Adventure', 'Science Fiction', 'Fantasy', 'Thriller'",Ryûhei Kitamura,2.08,70.0,Released,Japanese,19500000.0,12000000.0
JUNG_E,2023,"'Science Fiction', 'War'",Yeon Sang-ho,1.63,62.0,Released,Korean,,
Hitman's Wife's Bodyguard,2021,"'Action', 'Comedy', 'Crime', 'Thriller'",Tom O'Connor,1.95,67.0,Released,English,70000000.0,70060492.0
Hotel Transylvania 3: Summer Vacation,2018,"'Animation', 'Comedy', 'Family', 'Fantasy'",Genndy Tartakovsky,1.62,69.0,Released,English,80000000.0,528600000.0
Mission: Impossible - Rogue Nation,2015,"'Action', 'Adventure'",Christopher McQuarrie,2.18,72.0,Released,English,150000000.0,682716636.0
Star Wars: The Force Awakens,2015,"'Adventure', 'Action', 'Science Fiction'",J.J. Abrams,2.27,73.0,Released,English,245000000.0,2068223624.0
The Northman,2022,"'Action', 'Adventure', 'Fantasy'",Robert Eggers,2.2800000000000002,71.0,Released,English,70000000.0,69633110.0
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,"'Action', 'Adventure', 'Drama', 'Fantasy', 'Animation'",Toshiyuki Kubooka,1.63,73.0,Released,Japanese,,
Life,2017,"'Horror', 'Science Fiction', 'Mystery', 'Thriller'",Daniel Espinosa,1.73,64.0,Released,English,58000000.0,100541806.0
Doctor Strange,2016,"'Action', 'Adventure', 'Fantasy'",Scott Derrickson,1.92,74.0,Released,English,180000000.0,676343174.0
Aquaman: Heroines of Atlantis,2019,'Documentary',Angela King,,60.0,Released,English,,
The Witch: Part 2. The Other One,2022,"'Action', 'Mystery', 'Thriller', 'Science Fiction', 'Adventure'",Park Hoon-jung,2.2800000000000002,73.0,Released,Korean,,23068596.0
Mummies,2023,"'Animation', 'Adventure', 'Fantasy'",Juan Jesús García Galocha,1.47,71.0,Released,Spanish; Castilian,12000000.0,53400000.0
10 Things I Hate About You,1999,"'Comedy', 'Romance', 'Drama'",Gil Junger,1.62,76.0,Released,English,16000000.0,53478166.0
Satan's Slaves 2: Communion,2022,"'Drama', 'Horror', 'Mystery'",Joko Anwar,1.98,72.0,Released,Indonesian,,
Brave,2012,"'Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy'",Brenda Chapman,1.55,70.0,Released,English,185000000.0,538983207.0
Pretty Woman,1990,"'Comedy', 'Romance'",Garry Marshall,1.98,75.0,Released,English,14000000.0,463406268.0
Mulholland Drive,2001,"'Thriller', 'Drama', 'Mystery'",David Lynch,2.45,78.0,Released,English,15000000.0,20271129.0
The Holiday,2006,"'Comedy', 'Romance'",Nancy Meyers,2.27,71.0,Released,English,85000000.0,194168700.0
Catch Me If You Can,2002,"'Drama', 'Crime'",Steven Spielberg,2.35,80.0,Released,English,52000000.0,352114312.0
Wonder Woman 1984,2020,"'Action', 'Adventure', 'Fantasy'",Patty Jenkins,2.52,65.0,Released,English,200000000.0,169601036.0
Insidious: The Last Key,2018,"'Horror', 'Mystery', 'Thriller'",Adam Robitel,1.72,63.0,Released,English,10000000.0,167885588.0
The Retirement Plan,2023,"'Comedy', 'Action'",Tim Brown,1.72,65.0,Released,English,,
Green Book,2018,"'Drama', 'History'",Peter Farrelly,2.17,82.0,Released,English,23000000.0,319700000.0
Toying with the Holidays,2021,"'TV Movie', 'Comedy', 'Romance', 'Drama'",Bradley Walsh,1.4,68.0,Released,English,,
Dragon Ball Z: Bojack Unbound,1993,"'Action', 'Animation', 'Science Fiction'",Yoshihiro Ueda,,71.0,Released,Japanese,,20100000.0
"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",2014,"'Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy'",Naoyuki Ito,1.75,70.0,Released,Japanese,,
God Is a Bullet,2023,"'Thriller', 'Action', 'Crime', 'Horror'",Nick Cassavetes,2.58,63.0,Released,English,,
South Park: Joining the Panderverse,2023,"'Animation', 'Comedy', 'Science Fiction', 'TV Movie'",Trey Parker,,81.0,Released,English,,
Logan,2017,"'Action', 'Drama', 'Science Fiction'",James Mangold,2.2800000000000002,78.0,Released,English,97000000.0,619021436.0
Whiplash,2014,"'Drama', 'Music'",Damien Chazelle,1.78,84.0,Released,English,3300000.0,13092000.0
Dating Santa,2023,"'Drama', 'Comedy', 'Romance'",Jose Sierra,1.63,82.0,Released,Spanish; Castilian,,
How to Train Your Dragon,2010,"'Fantasy', 'Adventure', 'Animation', 'Family'",Chris Sanders,1.63,78.0,Released,English,165000000.0,494879471.0
The Addams Family 2,2021,"'Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror'",Benji Samit,1.55,70.0,Released,English,,119815153.0
The SpongeBob Movie: Sponge on the Run,2020,"'Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy'",Tim Hill,1.58,75.0,Released,English,60000000.0,4700000.0
The Truman Show,1998,"'Comedy', 'Drama'",Peter Weir,1.72,81.0,Released,English,60000000.0,264118201.0
Neon Genesis Evangelion: The End of Evangelion,1997,"'Animation', 'Science Fiction', 'Action', 'Drama'",Hideaki Anno,1.45,83.0,Released,Japanese,,20000000.0
Scary Movie 2,2001,'Comedy',Shawn Wayans,1.38,58.0,Released,English,45000000.0,141220678.0
Stand by Me Doraemon,2014,"'Animation', 'Family', 'Science Fiction', 'Fantasy'",Takashi Yamazaki,1.5,73.0,Released,Japanese,35000000.0,83061158.0
The Matrix Reloaded,2003,"'Adventure', 'Action', 'Thriller', 'Science Fiction'",Lilly Wachowski,2.3,70.0,Released,English,150000000.0,738599701.0
The Revenant,2015,"'Western', 'Drama', 'Adventure'",Alejandro González Iñárritu,2.62,75.0,Released,English,135000000.0,532950503.0
ZOMBI-Thon with Big City Greens,2022,"'Animation', 'Family', 'Comedy'",Sabrina Alberghetti,,80.0,Released,English,,
Eternal Sunshine of the Spotless Mind,2004,"'Science Fiction', 'Drama', 'Romance'",Michel Gondry,1.8,81.0,Released,English,20000000.0,72258126.0
Zom 100: Bucket List of the Dead,2023,"'Comedy', 'Horror', 'Action'",Yusuke Ishida,2.15,68.0,Released,Japanese,,
The Parent Trap,1998,"'Comedy', 'Family'",Nancy Meyers,2.13,72.0,Released,English,15000000.0,92108518.0
A Walk to Remember,2002,"'Drama', 'Romance'",Adam Shankman,1.6800000000000002,77.0,Released,English,11800000.0,47494916.0
The Last Warrior: Root of Evil,2021,"'Fantasy', 'Adventure', 'Comedy'",Dmitriy Dyachenko,,69.0,Released,Russian,8400000.0,27658331.0
The Passion of the Christ,2004,'Drama',Mel Gibson,2.12,75.0,Released,English,30000000.0,611900000.0
A Silent Voice: The Movie,2016,"'Animation', 'Drama'",Naoko Yamada,2.17,84.0,Released,Japanese,,30200000.0
Watchmen,2009,"'Action', 'Mystery', 'Science Fiction'",Zack Snyder,2.7199999999999998,73.0,Released,English,130000000.0,185258983.0
London Has Fallen,2016,"'Action', 'Thriller'",Katrin Benedikt,1.65,62.0,Released,English,60000000.0,205754447.0
To Her,2017,"'Drama', 'Romance'",Yang Ho-yeol,1.5,58.0,Released,Korean,,
Special Delivery,2022,"'Action', 'Crime'",Park Dae-min,1.8199999999999998,71.0,Released,Korean,,
Apocalypto,2006,"'Action', 'Drama', 'History'",Mel Gibson,2.32,76.0,Released,English,40000000.0,120673227.0
Transformers: The Last Knight,2017,"'Action', 'Adventure', 'Science Fiction'",Ken Nolan,2.57,61.0,Released,English,217000000.0,605400000.0
Terminator 3: Rise of the Machines,2003,"'Action', 'Thriller', 'Science Fiction'",Michael Ferris,1.8199999999999998,61.0,Released,English,200000000.0,435000000.0
Tomorrowland,2015,"'Adventure', 'Family', 'Mystery', 'Science Fiction'",Brad Bird,2.17,63.0,Released,English,190000000.0,209154322.0
Best. Christmas. Ever!,2023,'Comedy',Mary Lambert,1.37,54.0,Released,English,,
Free Guy,2021,"'Comedy', 'Adventure', 'Science Fiction'",Matt Lieberman,1.92,75.0,Released,English,110000000.0,331526598.0
Piranha 3DD,2012,"'Horror', 'Thriller', 'Comedy'",Josh Stolberg,1.38,43.0,Released,English,5000000.0,8493728.0
The Shining,1980,"'Horror', 'Thriller'",Stanley Kubrick,2.4,82.0,Released,English,19000000.0,44781695.0
Blood Punch,2014,"'Horror', 'Thriller'",Madellaine Paxson,1.73,64.0,Released,English,,
Beauty and the Beast,2017,"'Family', 'Fantasy', 'Romance'",Bill Condon,2.15,70.0,Released,English,160000000.0,1266115964.0
Underwater,2020,"'Horror', 'Science Fiction', 'Action', 'Adventure'",Brian Duffield,1.58,63.0,Released,English,50000000.0,40882928.0
American Sniper,2014,"'War', 'Action'",Clint Eastwood,2.22,74.0,Released,English,58800000.0,542300000.0
Harry Potter 20th Anniversary: Return to Hogwarts,2022,'Documentary',Joe Pearlman,1.72,73.0,Released,English,,
Just Go with It,2011,"'Comedy', 'Romance'",Dennis Dugan,1.95,67.0,Released,English,80000000.0,214945591.0
The Mitchells vs. the Machines,2021,"'Animation', 'Adventure', 'Comedy'",Mike Rianda,1.83,79.0,Released,English,75000000.0,
Divergent,2014,"'Action', 'Adventure', 'Science Fiction'",Neil Burger,2.32,69.0,Released,English,85000000.0,288885818.0
The Pianist,2002,"'Drama', 'War'",Roman Polanski,2.5,84.0,Released,English,35000000.0,120100000.0
Imagine Me & You,2006,"'Drama', 'Comedy', 'Romance'",Ol Parker,1.55,76.0,Released,English,,2455831.0
John Wick,2014,"'Action', 'Thriller'",Chad Stahelski,1.6800000000000002,74.0,Released,English,20000000.0,88761661.0
Home Alone 4,2002,"'Comedy', 'Family', 'TV Movie'",John Hughes,1.4,45.0,Released,English,,
Jeepers Creepers: Reborn,2022,"'Horror', 'Thriller', 'Mystery'",Sean-Michael Argo,1.47,55.0,Released,English,5000000.0,6175213.0
Pacific Rim: Uprising,2018,"'Action', 'Fantasy', 'Science Fiction', 'Adventure'",Steven S. DeKnight,1.85,61.0,Released,English,150000000.0,290061297.0
Emanuelle and the White Slave Trade,1978,"'Drama', 'Horror'",Joe D'Amato,1.47,47.0,Released,Italian,,
Detachment,2011,'Drama',Tony Kaye,1.63,76.0,Released,English,,1681521.0
Don't Sleep,2017,"'Horror', 'Thriller'",Rick Bieber,1.6800000000000002,53.0,Released,English,,
Rampage,2018,"'Action', 'Adventure', 'Science Fiction'",Ryan Engle,1.78,65.0,Released,English,120000000.0,428028233.0
Some Be,2020,,,,50.0,Released,English,,
The Final Destination,2009,"'Horror', 'Mystery'",Jeffrey Reddick,1.37,56.0,Released,English,40000000.0,186167139.0
Ralph Breaks the Internet,2018,"'Family', 'Animation', 'Comedy', 'Adventure'",Phil Johnston,1.87,72.0,Released,English,175000000.0,529323962.0
The Martian,2015,"'Drama', 'Adventure', 'Science Fiction'",Ridley Scott,2.35,77.0,Released,English,108000000.0,630600000.0
Sex Tape,2014,'Comedy',Jake Kasdan,1.62,54.0,Released,English,40000000.0,126069509.0
Campeonex,2023,"'Comedy', 'Drama'",Javier Fesser,2.08,67.0,Released,Spanish; Castilian,,
Emmanuelle: Queen of Sados,1980,"'Crime', 'Drama'",Ilias Mylonakos,1.52,61.0,Released,Greek,,
BlackBerry,2023,"'Comedy', 'Drama', 'History'",Matt Johnson,1.98,72.0,Released,English,5000000.0,2600000.0
Deep Fear,2023,"'Horror', 'Thriller', 'Action'",Marcus Adams,1.4,50.0,Released,English,,
In Time,2011,"'Action', 'Thriller', 'Science Fiction'",Andrew Niccol,1.8199999999999998,70.0,Released,English,40000000.0,173930596.0
Winnie the Pooh: Blood and Honey,2023,"'Horror', 'Thriller'",Rhys Frake-Waterfield,1.4,53.0,Released,English,100000.0,5200000.0
Space Jam: A New Legacy,2021,"'Family', 'Animation', 'Comedy', 'Science Fiction'",Keenan Coogler,1.92,68.0,Released,English,150000000.0,163692228.0
Planet of the Apes,2001,"'Thriller', 'Science Fiction', 'Action', 'Adventure'",Tim Burton,,57.0,Released,English,100000000.0,362211740.0
The Siren,2019,"'Fantasy', 'Horror'",Perry Blackshear,1.3,58.0,Released,English,,
The League of Extraordinary Gentlemen,2003,"'Fantasy', 'Action', 'Thriller', 'Science Fiction'",Stephen Norrington,1.83,60.0,Released,English,78000000.0,179265204.0
The Mummy Returns,2001,"'Adventure', 'Action', 'Fantasy'",Stephen Sommers,2.17,64.0,Released,English,98000000.0,443280904.0
Clifford the Big Red Dog,2021,"'Family', 'Adventure', 'Comedy', 'Fantasy', 'Animation'",Norman Bridwell,1.62,72.0,Released,English,64000000.0,107347356.0
Prometheus,2012,"'Science Fiction', 'Adventure', 'Mystery'",Dan O'Bannon,2.07,65.0,Released,English,130000000.0,403354469.0
Jarhead,2005,"'Drama', 'War'",Sam Mendes,2.05,66.0,Released,English,72000000.0,97076152.0
The Student,2015,'Drama',Rutger Veenstra,,49.0,Released,Dutch; Flemish,,
Christmas at the Drive-In,2022,"'TV Movie', 'Comedy', 'Romance'",Don McBrearty,1.47,59.0,Released,English,,
Insurgent,2015,"'Action', 'Adventure', 'Science Fiction', 'Thriller'",Robert Schwentke,1.98,64.0,Released,English,110000000.0,297002527.0
My Hero Academia: World Heroes' Mission,2021,"'Animation', 'Action', 'Adventure', 'Science Fiction'",Kohei Horikoshi,1.75,76.0,Released,Japanese,,38410729.0
Alien: Covenant,2017,"'Science Fiction', 'Horror', 'Mystery'",Dan O'Bannon,2.03,61.0,Released,English,97000000.0,240891763.0
Blended,2014,"'Comedy', 'Romance'",Frank Coraci,1.95,69.0,Released,English,40000000.0,128000000.0
Scream,1996,"'Crime', 'Horror', 'Mystery'",Wes Craven,1.87,74.0,Released,English,15000000.0,173100000.0
Mob Land,2023,"'Action', 'Crime', 'Thriller'",Nicholas Maggio,1.85,58.0,Released,English,,
Aliens,1986,"'Action', 'Thriller', 'Science Fiction'",James Cameron,2.2800000000000002,79.0,Released,English,18500000.0,183316455.0
Surviving My Quinceañera,2023,'Comedy',Chava Cartas,1.6800000000000002,74.0,Released,Spanish; Castilian,,
The Lion King 1½,2004,"'Family', 'Animation', 'Comedy', 'Action'",Bradley Raymond,1.28,66.0,Released,English,,1465.0
Aliens vs Predator: Requiem,2007,"'Fantasy', 'Action', 'Science Fiction', 'Thriller', 'Horror'",Ronald Shusett,1.5699999999999998,52.0,Released,English,40000000.0,130290885.0
Scrooged,1988,"'Fantasy', 'Comedy', 'Drama'",Richard Donner,1.6800000000000002,68.0,Released,English,32000000.0,60300000.0
Troy,2004,"'Adventure', 'History', 'War', 'Action'",Homer,2.7199999999999998,72.0,Released,English,175000000.0,497409852.0
2012,2009,"'Action', 'Adventure', 'Science Fiction'",Roland Emmerich,2.63,58.0,Released,English,200000000.0,791217826.0
Baywatch,2017,"'Comedy', 'Action', 'Crime'",Seth Gordon,1.9300000000000002,61.0,Released,English,69000000.0,177856751.0
Chip 'n Dale: Rescue Rangers,2022,"'Animation', 'Family', 'Comedy', 'Adventure', 'Mystery'",Akiva Schaffer,1.65,70.0,Released,English,70000000.0,623190.0
SpongeBob SquarePants Presents The Tidal Zone,2023,"'Animation', 'Comedy', 'Adventure'",Stephen Hillenburg,,70.0,Released,English,,
Memory,2022,"'Action', 'Thriller', 'Crime'",Martin Campbell,1.9,69.0,Released,English,30000000.0,13897255.0
Wrong Turn 5: Bloodlines,2012,"'Horror', 'Thriller'",Declan O'Brien,1.52,54.0,Released,English,3000000.0,
The Mist,2007,"'Horror', 'Science Fiction', 'Thriller'",Frank Darabont,2.1,69.0,Released,English,18000000.0,57470220.0
Asterix & Obelix: Mission Cleopatra,2002,"'Family', 'Fantasy', 'Comedy', 'Adventure'",Alain Chabat,1.8,74.0,Released,French,58500000.0,128027976.0
Dragon Ball Z: Broly – Second Coming,1994,"'Animation', 'Action', 'Science Fiction'",Akira Toriyama,,67.0,Released,Japanese,,24200000.0
Django Unchained,2012,"'Drama', 'Western'",Quentin Tarantino,2.75,82.0,Released,English,100000000.0,425368238.0
Kill Bill: Vol. 2,2004,"'Action', 'Crime', 'Thriller'",Quentin Tarantino,2.27,79.0,Released,English,30000000.0,152159461.0
Mickey and Friends: Trick or Treats,2023,"'Animation', 'Family'",David H. Brooks,,71.0,Released,English,,
Epic Tails,2023,"'Animation', 'Adventure', 'Fantasy', 'Family'",David Alaux,1.58,69.0,Released,French,,4834952.0
The School for Good and Evil,2022,'Fantasy',Paul Feig,2.43,71.0,Released,English,,
The Texas Chainsaw Massacre,2003,'Horror',Marcus Nispel,1.63,62.0,Released,English,9500000.0,107363905.0
The Expendables 2,2012,"'Action', 'Adventure', 'Thriller'",Richard Wenk,1.72,63.0,Released,English,100000000.0,314975955.0
Abraham Lincoln: Vampire Hunter,2012,"'Action', 'Fantasy', 'Horror'",Seth Grahame-Smith,1.75,57.0,Released,English,69000000.0,116500000.0
The Other Zoey,2023,"'Romance', 'Drama', 'Comedy'",Sara Zandieh,1.52,72.0,Released,English,,168099.0
Alita: Battle Angel,2019,"'Action', 'Science Fiction', 'Adventure'",Robert Rodriguez,2.03,72.0,Released,English,170000000.0,404980543.0
Constantine,2005,"'Fantasy', 'Action', 'Horror'",Kevin Brodbin,2.02,71.0,Released,English,100000000.0,230884728.0
Dumbo,1941,"'Animation', 'Family'",Jack Kinney,1.07,70.0,Released,English,812000.0,1600000.0
Train to Busan,2016,"'Horror', 'Thriller', 'Action', 'Adventure'",Yeon Sang-ho,1.97,78.0,Released,Korean,8500000.0,87547518.0
Fullmetal Alchemist: The Final Alchemy,2022,"'Action', 'Adventure', 'Fantasy'",Fumihiko Sori,2.38,63.0,Released,Japanese,,
The Forever Purge,2021,"'Horror', 'Action', 'Thriller'",James DeMonaco,1.72,70.0,Released,English,18000000.0,76994245.0
The Magnificent Seven,1960,"'Action', 'Adventure', 'Western'",John Sturges,2.12,75.0,Released,English,2000000.0,4905000.0
Mission: Impossible,1996,"'Adventure', 'Action', 'Thriller'",David Koepp,1.83,70.0,Released,English,80000000.0,457731198.0
Wrong Turn 4: Bloody Beginnings,2011,"'Horror', 'Thriller'",Declan O'Brien,1.55,57.0,Released,English,3000000.0,
Cinderella II: Dreams Come True,2002,"'Family', 'Animation', 'Romance', 'Fantasy'",John Kafka,1.23,61.0,Released,English,5000000.0,
Valkyrie,2008,"'Drama', 'Thriller', 'War'",Bryan Singer,2.02,69.0,Released,English,75000000.0,200276000.0
Emmanuelle 3,1977,"'Drama', 'Romance'",François Leterrier,1.67,44.0,Released,French,,
IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,2023,"'Animation', 'Music'",Kensuke Yamamoto,1.55,95.0,Released,Japanese,,
Kingdom of the Planet of the Apes,2024,"'Action', 'Science Fiction'",Amanda Silver,,0.0,Post Production,English,,
Bambi,1942,"'Animation', 'Drama', 'Family'",David Hand,1.17,70.0,Released,English,858000.0,267447150.0
Eyes Wide Shut,1999,"'Drama', 'Thriller', 'Mystery'",Stanley Kubrick,2.65,75.0,Released,English,65000000.0,162100000.0
The Out-Laws,2023,"'Romance', 'Action', 'Comedy'",Tyler Spindel,1.58,61.0,Released,English,,
Scouts Guide to the Zombie Apocalypse,2015,"'Comedy', 'Horror'",Christopher Landon,1.55,65.0,Released,English,15000000.0,14860766.0
Dragon Ball Z: The Return of Cooler,1992,"'Action', 'Animation', 'Science Fiction'",Daisuke Nishio,,65.0,Released,Japanese,,19581369.0
Legion,2010,"'Horror', 'Action', 'Fantasy'",Scott Stewart,1.67,58.0,Released,English,26000000.0,67918658.0
Saw 3D,2010,"'Horror', 'Crime'",Kevin Greutert,1.5,60.0,Released,English,20000000.0,136151680.0
The Incredible Hulk,2008,"'Science Fiction', 'Action', 'Adventure'",Jack Kirby,1.9,62.0,Released,English,150000000.0,163712074.0
The Sixth Sense,1999,"'Mystery', 'Thriller', 'Drama'",M. Night Shyamalan,1.78,79.0,Released,English,40000000.0,672800000.0
Lolita,1997,'Drama',Adrian Lyne,2.2800000000000002,71.0,Released,English,62000000.0,1100000.0
Scooby-Doo! and the Witch's Ghost,1999,"'Animation', 'Comedy', 'Mystery', 'Family', 'Fantasy'",Jim Stenstrum,1.17,74.0,Released,English,,
National Lampoon's Vacation,1983,"'Comedy', 'Adventure'",Harold Ramis,1.65,71.0,Released,English,15000000.0,61399552.0
Alice Through the Looking Glass,2016,"'Adventure', 'Family', 'Fantasy'",James Bobin,1.88,66.0,Released,English,170000000.0,299457024.0
The Addams Family,1991,"'Comedy', 'Fantasy'",Charles Addams,1.7,70.0,Released,English,30000000.0,191502426.0
300,2007,"'Action', 'Adventure', 'War'",Zack Snyder,1.95,72.0,Released,English,65000000.0,456082343.0
The Prince & Me 2: The Royal Wedding,2006,"'Romance', 'Comedy', 'Family'",Katherine Fugate,1.6,57.0,Released,English,,
3some,2009,"'Romance', 'Drama'",Salvador García Ruiz,1.5699999999999998,53.0,Released,Spanish; Castilian,,146685.0
Dead Poets Society,1989,'Drama',Peter Weir,2.13,83.0,Released,English,16400000.0,235900000.0
Sayen: Desert Road,2023,"'Action', 'Thriller'",Alexander Witt,1.5699999999999998,61.0,Released,Spanish; Castilian,,
The Town,2010,"'Crime', 'Drama', 'Thriller'",Ben Affleck,2.08,72.0,Released,English,37000000.0,154026136.0
H4Z4RD,2022,"'Action', 'Comedy'",Jonas Govaerts,1.45,62.0,Released,Dutch; Flemish,,
No Strings Attached,2011,"'Comedy', 'Romance'",Elizabeth Meriwether,1.78,63.0,Released,English,25000000.0,149200000.0
Pearl,2022,"'Horror', 'Drama', 'Thriller'",Ti West,1.7,73.0,Released,English,1000000.0,9700000.0
The Age of Adaline,2015,"'Romance', 'Fantasy', 'Drama'",J. Mills Goodloe,1.87,75.0,Released,English,25000000.0,65663276.0
A Taste of Blood,2022,'Horror',Santiago Fernández Calvete,1.5,10.0,Released,Spanish; Castilian,,
Tinker Bell and the Legend of the NeverBeast,2014,"'Adventure', 'Animation', 'Family'",Steve Loter,1.28,73.0,Released,English,,
Nightmare Alley,2021,"'Crime', 'Thriller', 'Drama'",Guillermo del Toro,2.5,70.0,Released,English,60000000.0,39629195.0
Six Swedish Girls in Alps,1983,"'Romance', 'Comedy'",Paul Grau,1.5,59.0,Released,German,,
The Great Gatsby,2013,"'Drama', 'Romance'",Baz Luhrmann,2.38,74.0,Released,English,105000000.0,351040419.0
Project Gemini,2022,"'Science Fiction', 'Horror'",Serik Beyseu,1.63,58.0,Released,English,6000000.0,211674.0
Terminator: Dark Fate,2019,"'Science Fiction', 'Adventure', 'Action'",James Cameron,2.13,65.0,Released,English,185000000.0,261119292.0
Rambo: Last Blood,2019,"'Action', 'Thriller', 'Drama'",David Morrell,1.48,65.0,Released,English,50000000.0,91490353.0
Medieval,2022,"'Action', 'Drama', 'History'",Petr Jákl,2.1,71.0,Released,English,23000000.0,4311284.0
Bride of Chucky,1998,"'Comedy', 'Horror'",Don Mancini,1.48,60.0,Released,English,25000000.0,50671850.0
Pearl Harbor,2001,"'War', 'History', 'Romance', 'Drama'",Michael Bay,3.05,69.0,Released,English,140000000.0,449220945.0
Kingdom of Heaven,2005,"'Drama', 'Action', 'Adventure', 'History', 'War'",Ridley Scott,2.4,69.0,Released,English,130000000.0,218122627.0
The Gentlemen,2020,"'Action', 'Crime', 'Comedy'",Guy Ritchie,1.88,77.0,Released,English,22000000.0,115171795.0
DC League of Super-Pets,2022,"'Animation', 'Action', 'Family', 'Comedy', 'Science Fiction'",Jared Stern,1.75,73.0,Released,English,90000000.0,203000000.0
